cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Arturo Fuente Hemingway 7x48 (Box of 25),https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-classic,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.94,True
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CAM|BOX20,Hoyo de Monterrey Excalibur 5.2x50 Box of 20,https://www.neptunecigar.com/cigars/excalibur-epicure,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.2x50,20,166.95,True
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MAD|BOX25,Drew Estate Herrera Esteli Norteno 6.5x44 Box of 25,https://www.neptunecigar.com/cigars/norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,Mexican San Andres Maduro,Lonsdale,6.5x44,25,224.95,True
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Padron 1964 Anniversary 7x50 Box of 25,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico-maduro,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,435.0,True
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|CAM|BOX25,Romeo y Julieta 1875 Churchill,https://www.neptunecigar.com/cigars/romeo-y-julieta-1875-churchill,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7 x 50,25,183.95,True
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|CAM|BOX23,Grand Robusto,https://www.neptunecigar.com/cigars/my-father-the-judge-grand-robusto,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,True
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|CAM|BOX25,Epicure,https://www.neptunecigar.com/cigars/perdomo-reserve-champagne-epicure,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,249.7,True
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|SUN|BOX25,Diplomatico,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,435.0,True
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|OSC|BOX23,Toro,https://www.neptunecigar.com/cigars/my-father-le-bijou-1922-toro,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,253.95,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CT|BOX25,Best Seller,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-best-seller-maduro,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,270.52,False
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|MAD|BOX24,Robusto,https://www.neptunecigar.com/cigars/ashton-vsg-robusto,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,337.95,True
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.neptunecigar.com/cigars/foundation-olmec-maduro-toro,Foundation,Olmec,Maduro,Toro,6x52,12,174.95,True
