cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.tobaccostock.com/products/ashton-vsg-virgin-sun-grown-robusto-cigars-box-of-24,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,289.99,False,
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://www.tobaccostock.com/products/cohiba-robusto-cigars-box-of-25,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,446.25,False,
COHIBA||REDDOT|CHURCHILL|CHURCHILL|7x49|CAM|BOX25,Churchill,https://www.tobaccostock.com/products/cohiba-churchill-cigars-box-of-25,Cohiba,Red Dot,Cameroon,Churchill,7x49,25,489.25,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.tobaccostock.com/products/arturo-fuente-hemingway-short-story-cigars-box-of-25,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,149.15,False,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.tobaccostock.com/products/macanudo-hyde-park-cafe-cigars-box-of-25,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,222.5,True,
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,Portofino,https://www.tobaccostock.com/products/macanudo-portofino-cafe-cigars-box-of-25,Macanudo,Cafe,Connecticut Shade,Portofino,7x34,25,228.5,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.tobaccostock.com/products/perdomo-10th-anniversary-epicure-champagne-cigars-box-of-25,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,159.5,False,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.tobaccostock.com/products/oliva-serie-v-belicoso-cigars-box-of-24,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,172.0,False,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.tobaccostock.com/products/romeo-y-julieta-1875-churchill-cigars-box-of-25,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,155.99,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CHURCHILL|CHURCHILL|7x54|ECU|BOX25,,https://www.tobaccostock.com/products/perdomo-10th-anniversary-churchill-champagne-cigars-box-of-25,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Churchill,7x54,25,167.75,False,
ALECBRADLEY|ALECBRADLEY|AMERICANCLASSICBLEND|GORDO|GORDO|6x60|ECU|BOX20,,https://www.tobaccostock.com/products/alec-bradley-american-classic-gordo-cigars-box-of-20,Alec Bradley,American Classic Blend,Ecuadorian Connecticut,Gordo,,20,84.2,False,
ALECBRADLEY|ALECBRADLEY|BLACKMARKET|CHURCHILL|CHURCHILL|6.75x47|NIC|BOX22,,https://www.tobaccostock.com/products/alec-bradley-black-market-churchill-cigars-box-of-22,Alec Bradley,Black Market,Nicaraguan,Churchill,,22,152.99,False,
ALECBRADLEY|ALECBRADLEY|BLACKMARKET|GORDO|GORDO|6x60|NIC|BOX22,,https://www.tobaccostock.com/products/alec-bradley-black-market-gordo-cigars-box-of-22,Alec Bradley,Black Market,Nicaraguan,Gordo,,22,156.99,False,
ALECBRADLEY|ALECBRADLEY|AMERICANCLASSICBLEND|TORO|TORO|6x52|ECU|BOX20,,https://www.tobaccostock.com/products/alec-bradley-american-classic-toro-cigars-box-of-20,Alec Bradley,American Classic Blend,Ecuadorian Connecticut,Toro,,20,69.99,False,
MYFATHER|MYFATHER|NO.2|BELICOSO|BELICOSO|5.625x55|NIC|BOX23,,https://www.tobaccostock.com/products/my-father-2-belicosos-cigars-box-of-23,My Father,No. 2,Nicaraguan Habano,Belicoso,,23,172.09,False,
